timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
2026-04-24T18:00:28.586808+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,127,253,,,,,,,,,,,
2026-04-24T18:00:28.586945+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13526.731926,,,2,0,63,0
2026-04-24T18:00:28.587148+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7106.594687,,,10,0,0,127
2026-04-24T18:00:28.587621+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12815.723968,,,2,0,64,0
2026-04-24T18:00:28.587729+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6056.609692,,,12,0,0,126
2026-04-24T18:00:29.438366+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.903965,,,,,,,,,,,,,,,
2026-04-24T18:00:29.438619+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.625926,,,,,,,,
2026-04-24T18:00:29.438764+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.832545,,,,,,,,
2026-04-24T18:00:29.438869+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.687665,,,,,,,,
2026-04-24T18:00:29.438961+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.469726,,,,,,,,
2026-04-24T18:00:29.439427+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
